City,State,Cost.of.Living.Index,Rent.Index,Cost.of.Living.Plus.Rent.Index,Groceries.Index,Restaurant.Price.Index,Local.Purchasing.Power.Index,Avg.Disp.Sal.Index,lat,lng,City.Category
Kansas City,MO,69.05,29.33,49.89,68.17,63.04,135.76,67.730664,39.09973,-94.57857,"Avg CP,
Low DS"
Knoxville,TN,62.18,29.77,46.55,60.36,64.67,128.69,59.905195,35.96064,-83.92074,"Avg CP,
Low DS"
Las Vegas,NV,70.97,29.98,51.2,66.54,74.53,148.81,76.19072,36.17497,-115.13722,"High CP,
Low DS"
Lexington,KY,67.9,25.51,47.45,69.03,62.48,130.77,62.050365,37.98869,-84.47772,"Avg CP,
Low DS"
Lincoln,NE,68.61,28.38,49.21,71.56,62.02,124.13,61.084373,40.8,-96.66696,"Avg CP,
Low DS"
Little Rock,AR,71.29,24.83,48.89,77.24,64.98,132.31,64.686359,34.74648,-92.28959,"Avg CP,
Low DS"
Long Beach,CA,78.23,54.98,67.01,82.77,76.98,127.25,85.270225,33.88638,-118.04535,"Avg CP,
Avg DS"
Los Angeles,CA,82.3,68.75,75.77,82.73,82.48,109.01,82.596877,34.05223,-118.24368,"Low-Avg CP,
High DS"
Louisville,KY,65.14,28.33,47.39,65.76,65.91,127.21,60.284819,38.25424,-85.75941,"Avg CP,
Low DS"
Lubbock,TX,66.9,24.63,46.52,61.64,68.94,133.25,61.9879,33.57786,-101.85517,"Avg CP,
Low DS"
Madison,WI,65.6,36.95,51.78,62.5,66.34,144.83,74.992974,43.07305,-89.40123,"High CP,
Low DS"
Manchester,NH,71.46,33.61,53.2,76.26,72.86,124.75,66.367,42.99564,-71.45479,"Avg CP,
Low DS"
Melbourne,FL,77.09,29.38,54.08,85.53,77.04,128.34,69.406272,28.08363,-80.60811,"Avg CP,
Low DS"
Memphis,TN,72.95,27.52,51.04,73.96,70.71,154.91,79.066064,35.14953,-90.04898,"High CP,
Low DS"
Miami,FL,86.01,63.2,75.01,87.37,95.81,97.81,73.367281,25.77427,-80.19366,"Low-Avg CP,
High DS"
Milwaukee,WI,73.37,35.5,55.11,71.9,71.59,139.23,76.729653,43.0389,-87.90647,"Avg CP,
Low DS"
Minneapolis,MN,81.46,45.65,64.19,87.48,75.88,131.08,84.140252,44.97997,-93.26384,"Avg CP,
Avg DS"
Mobile,AL,65.31,24.63,45.69,67.4,64.09,122.2,55.83318,30.69436,-88.04305,"Avg CP,
Low DS"
Nashville,TN,71.88,47.73,60.23,74.28,69.38,125.4,75.52842,36.16589,-86.78444,"Avg CP,
Avg DS"
New Haven,CT,84.13,47.53,66.48,92.86,86.18,127.41,84.702168,41.30815,-72.92816,"Avg CP,
Avg DS"
New Orleans,LA,76.64,40.21,59.07,75.15,84,116.56,68.851992,29.95465,-90.07507,"Avg CP,
Low DS"
New York,NY,100,100,100,100,100,100,100,40.71427,-74.00597,"Low CP,
Highest DS"
Newark,NJ,72.68,40.31,57.07,66.47,77.87,94.1,53.70287,40.73566,-74.17237,"Low CP,
Low DS"
Norfolk,VA,81.36,43.59,63.14,90.06,81.31,64.42,40.674788,36.84681,-76.28522,"Lowest CP,
Low DS"
Oakland,CA,85.11,79.57,82.44,88.65,81.38,97.94,80.741736,37.80437,-122.2708,"Low CP,
High DS"
Oklahoma City,OK,64.29,26.54,46.09,66.52,58.15,142.4,65.63216,35.46756,-97.51643,"Avg CP,
Low DS"
Olympia,WA,79.25,36.06,58.42,77.18,78.7,125.04,73.048368,47.03787,-122.9007,"Avg CP,
Low DS"
Omaha,NE,67.8,30.43,49.78,69.41,62.64,134.51,66.959078,41.25626,-95.94043,"Avg CP,
Low DS"
Orlando,FL,76.63,37.35,57.68,82.77,69.38,129.02,74.418736,28.53834,-81.37924,"Avg CP,
Low DS"
Pensacola,FL,64.88,28.72,47.44,62.12,64.75,128.73,61.069512,30.42131,-87.21691,"Avg CP,
Low DS"
Philadelphia,PA,83.46,48.09,66.4,82.24,79.37,116.06,77.06384,39.95233,-75.16379,"Avg CP,
Low DS"
Phoenix,AZ,66.87,33.32,50.69,62.4,71.42,139.29,70.606101,33.44838,-112.07404,"Avg CP,
Low DS"
Pittsburgh,PA,78.66,39.02,59.54,76.56,70.89,133.38,79.414452,40.44062,-79.99589,"Avg CP,
Low DS"
Plano,TX,75.32,40.02,58.3,73.93,63.49,101.69,59.28527,33.01984,-96.69889,"Low CP,
Low DS"
Portland,ME,81.6,40.73,61.89,86.96,88.58,113.69,70.362741,43.66147,-70.25533,"Avg CP,
Low DS"
Portland,OR,78.45,51.72,65.56,79.56,68.4,125.57,82.323692,45.52345,-122.67621,"Avg CP,
Avg DS"
Queens,NY,80.77,64.73,73.04,74.39,87.27,113.4,82.82736,40.68149,-73.83652,"Low-Avg CP,
High DS"
Raleigh,NC,71.4,37.42,55.02,78.32,70.58,131.99,72.620898,35.7721,-78.63861,"Avg CP,
Low DS"
Reno,NV,62.88,35.99,49.92,58.04,64.1,136.4,68.09088,39.52963,-119.8138,"Avg CP,
Low DS"
Richmond,VA,70.98,36.18,54.2,77.66,65.74,133.08,72.12936,37.55376,-77.46026,"Avg CP,
Low DS"
Rochester,NY,70.52,30.31,51.13,72.96,74.66,158.71,81.148423,43.15478,-77.61556,"High CP,
Low DS"
Rockville,MD,92.66,64,78.84,87.76,74.74,130.79,103.114836,39.084,-77.15276,"Avg CP,
High DS"
Sacramento,CA,78.75,43.34,61.67,80.02,74.2,135.14,83.340838,38.58157,-121.4944,"Avg CP,
Avg DS"
Saint Louis,MO,70.76,30.11,51.15,71.33,68.14,144.7,74.01405,38.62727,-90.19789,"Avg CP,
Low DS"
Saint Paul,MN,78.37,40.38,60.05,81.15,74.68,97.64,58.63282,44.94441,-93.09327,"Low CP,
Low DS"
Saint Petersburg,FL,73.29,41.01,57.72,72.82,75.33,145.31,83.872932,27.77086,-82.67927,"High CP,
Low DS"
Salem,OR,69.81,32,51.58,70.61,68.39,106.58,54.973964,44.9429,-123.0351,"Low CP,
Low DS"
Salt Lake City,UT,66.76,34.91,51.4,64.48,68.75,148.6,76.3804,40.76078,-111.89105,"High CP,
Low DS"
San Antonio,TX,60.92,34.5,48.18,58.17,60.96,154.92,74.640456,29.42412,-98.49363,"High CP,
Low DS"
San Diego,CA,77.01,61.91,69.73,75.09,82.09,142.72,99.518656,32.71571,-117.16472,"Avg CP,
High DS"
San Francisco,CA,97.84,115.36,106.29,107.52,91.06,92.96,98.807184,37.77493,-122.41942,"Low CP,
Highest DS"
San Jose,CA,82.87,81.81,82.36,85.4,83.12,134.82,111.037752,37.33939,-121.89496,"Avg CP,
High DS"
Santa Barbara,CA,79.17,71.45,75.45,76.47,87.43,134.38,101.38971,34.42083,-119.69819,"Avg CP,
High DS"
Santa Rosa,CA,90.23,58.13,74.75,92.05,78.34,106.77,79.810575,38.44047,-122.71443,"Low-Avg CP,
High DS"
Seattle,WA,88.04,64.41,76.64,89.85,83.22,144.6,110.82144,47.60621,-122.33207,"Avg CP,
High DS"
Shreveport,LA,72.07,25.24,49.48,78.42,64.04,76.03,37.619644,32.52515,-93.75018,"Lowest CP,
Low DS"
Sioux Falls,SD,66.85,25.7,47,69.13,56.18,168.93,79.3971,43.54997,-96.70033,"High CP,
Low DS"
Spokane,WA,69.26,26.97,48.86,70.06,64.46,135.55,66.22973,47.65966,-117.42908,"Avg CP,
Low DS"
Springfield,MO,66.4,18.79,43.44,73.6,63.28,77.68,33.744192,37.21533,-93.29824,"Lowest CP,
Low DS"
Syracuse,NY,72.88,30.77,52.57,72.26,67.76,103.63,54.478291,43.04812,-76.14742,"Low CP,
Low DS"
Tacoma,WA,82.54,36.82,60.49,88.02,72.46,125.1,75.67299,47.60014,-122.3283,"Avg CP,
Low DS"
Tampa,FL,76.53,42.09,59.92,80.64,80.21,144.43,86.542456,27.94752,-82.45843,"High CP,
Low DS"
Tucson,AZ,63,23.8,44.1,61.12,63.64,138.07,60.88887,32.22174,-110.92648,"Avg CP,
Low DS"
Tulsa,OK,66.71,28.61,48.34,67.6,62.03,123.2,59.55488,36.15398,-95.99277,"Avg CP,
Low DS"
Vancouver,WA,67.79,34.12,51.55,61.12,67.28,127.95,65.958225,45.63873,-122.66149,"Avg CP,
Low DS"
Virginia Beach,VA,69.33,37.42,53.94,68.92,71.08,151.73,81.843162,36.85293,-75.97799,"High CP,
Low DS"
Washington,DC,91.94,73.3,82.95,92.74,85,120.62,100.05429,38.89511,-77.03637,"Low-Avg CP,
High DS"
West Palm Beach,FL,76.52,43.11,60.41,79.59,78.92,124.36,75.125876,26.71534,-80.05337,"Avg CP,
Low DS"
Wichita,KS,67.02,24.63,46.58,67.02,68.1,118.39,55.146062,37.69224,-97.33754,"Avg CP,
Low DS"
Winston-salem,NC,66.27,24.96,46.34,71.92,69.63,117.44,54.421696,36.09986,-80.24422,"Avg CP,
Low DS"
